preset_id,word_id
0ea81186-374c-4a4d-8d47-51ced2403a29,88
0ea81186-374c-4a4d-8d47-51ced2403a29,90
0ea81186-374c-4a4d-8d47-51ced2403a29,96
0ea81186-374c-4a4d-8d47-51ced2403a29,223
0ea81186-374c-4a4d-8d47-51ced2403a29,224
0ea81186-374c-4a4d-8d47-51ced2403a29,228
0ea81186-374c-4a4d-8d47-51ced2403a29,410
0ea81186-374c-4a4d-8d47-51ced2403a29,416
0ea81186-374c-4a4d-8d47-51ced2403a29,446
0ea81186-374c-4a4d-8d47-51ced2403a29,149316
0ea81186-374c-4a4d-8d47-51ced2403a29,46751
0ea81186-374c-4a4d-8d47-51ced2403a29,359223
0ea81186-374c-4a4d-8d47-51ced2403a29,357167
0ea81186-374c-4a4d-8d47-51ced2403a29,559
0ea81186-374c-4a4d-8d47-51ced2403a29,35923
0ea81186-374c-4a4d-8d47-51ced2403a29,616
0ea81186-374c-4a4d-8d47-51ced2403a29,208537
0ea81186-374c-4a4d-8d47-51ced2403a29,208557
0ea81186-374c-4a4d-8d47-51ced2403a29,660
0ea81186-374c-4a4d-8d47-51ced2403a29,669
0ea81186-374c-4a4d-8d47-51ced2403a29,675
0ea81186-374c-4a4d-8d47-51ced2403a29,722
0ea81186-374c-4a4d-8d47-51ced2403a29,751
0ea81186-374c-4a4d-8d47-51ced2403a29,806
0ea81186-374c-4a4d-8d47-51ced2403a29,808
0ea81186-374c-4a4d-8d47-51ced2403a29,880
0ea81186-374c-4a4d-8d47-51ced2403a29,887
0ea81186-374c-4a4d-8d47-51ced2403a29,941
0ea81186-374c-4a4d-8d47-51ced2403a29,940
0ea81186-374c-4a4d-8d47-51ced2403a29,937
0ea81186-374c-4a4d-8d47-51ced2403a29,935
0ea81186-374c-4a4d-8d47-51ced2403a29,985
0ea81186-374c-4a4d-8d47-51ced2403a29,986
0ea81186-374c-4a4d-8d47-51ced2403a29,1016
0ea81186-374c-4a4d-8d47-51ced2403a29,1041
0ea81186-374c-4a4d-8d47-51ced2403a29,1082
0ea81186-374c-4a4d-8d47-51ced2403a29,1091
0ea81186-374c-4a4d-8d47-51ced2403a29,1124
0ea81186-374c-4a4d-8d47-51ced2403a29,1159
0ea81186-374c-4a4d-8d47-51ced2403a29,1161
0ea81186-374c-4a4d-8d47-51ced2403a29,1156
0ea81186-374c-4a4d-8d47-51ced2403a29,1171
0ea81186-374c-4a4d-8d47-51ced2403a29,1188
0ea81186-374c-4a4d-8d47-51ced2403a29,1226
0ea81186-374c-4a4d-8d47-51ced2403a29,1230
0ea81186-374c-4a4d-8d47-51ced2403a29,1430
0ea81186-374c-4a4d-8d47-51ced2403a29,1431
0ea81186-374c-4a4d-8d47-51ced2403a29,1434
0ea81186-374c-4a4d-8d47-51ced2403a29,1436
0ea81186-374c-4a4d-8d47-51ced2403a29,1503
0ea81186-374c-4a4d-8d47-51ced2403a29,1514
0ea81186-374c-4a4d-8d47-51ced2403a29,1513
0ea81186-374c-4a4d-8d47-51ced2403a29,1529
0ea81186-374c-4a4d-8d47-51ced2403a29,1548
0ea81186-374c-4a4d-8d47-51ced2403a29,1552
0ea81186-374c-4a4d-8d47-51ced2403a29,1547
0ea81186-374c-4a4d-8d47-51ced2403a29,1579
0ea81186-374c-4a4d-8d47-51ced2403a29,1581
0ea81186-374c-4a4d-8d47-51ced2403a29,1636
0ea81186-374c-4a4d-8d47-51ced2403a29,1644
0ea81186-374c-4a4d-8d47-51ced2403a29,1641
0ea81186-374c-4a4d-8d47-51ced2403a29,1655
0ea81186-374c-4a4d-8d47-51ced2403a29,1659
0ea81186-374c-4a4d-8d47-51ced2403a29,1661
0ea81186-374c-4a4d-8d47-51ced2403a29,1674
0ea81186-374c-4a4d-8d47-51ced2403a29,1676
0ea81186-374c-4a4d-8d47-51ced2403a29,1681
0ea81186-374c-4a4d-8d47-51ced2403a29,1700
0ea81186-374c-4a4d-8d47-51ced2403a29,1720
0ea81186-374c-4a4d-8d47-51ced2403a29,1732
0ea81186-374c-4a4d-8d47-51ced2403a29,1726
0ea81186-374c-4a4d-8d47-51ced2403a29,1754
0ea81186-374c-4a4d-8d47-51ced2403a29,1820
0ea81186-374c-4a4d-8d47-51ced2403a29,1821
0ea81186-374c-4a4d-8d47-51ced2403a29,1824
0ea81186-374c-4a4d-8d47-51ced2403a29,1836
0ea81186-374c-4a4d-8d47-51ced2403a29,1834
0ea81186-374c-4a4d-8d47-51ced2403a29,1837
0ea81186-374c-4a4d-8d47-51ced2403a29,149336
0ea81186-374c-4a4d-8d47-51ced2403a29,1867
0ea81186-374c-4a4d-8d47-51ced2403a29,1854
0ea81186-374c-4a4d-8d47-51ced2403a29,1878
0ea81186-374c-4a4d-8d47-51ced2403a29,2252
0ea81186-374c-4a4d-8d47-51ced2403a29,2254
0ea81186-374c-4a4d-8d47-51ced2403a29,2406
0ea81186-374c-4a4d-8d47-51ced2403a29,2416
0ea81186-374c-4a4d-8d47-51ced2403a29,2435
0ea81186-374c-4a4d-8d47-51ced2403a29,2709
0ea81186-374c-4a4d-8d47-51ced2403a29,2708
0ea81186-374c-4a4d-8d47-51ced2403a29,2751
0ea81186-374c-4a4d-8d47-51ced2403a29,2738
0ea81186-374c-4a4d-8d47-51ced2403a29,2989
0ea81186-374c-4a4d-8d47-51ced2403a29,3284
0ea81186-374c-4a4d-8d47-51ced2403a29,3299
0ea81186-374c-4a4d-8d47-51ced2403a29,3308
0ea81186-374c-4a4d-8d47-51ced2403a29,3246
0ea81186-374c-4a4d-8d47-51ced2403a29,3255
0ea81186-374c-4a4d-8d47-51ced2403a29,3375
